row ID,row m/z,row retention time,HATS_402_041.mzML Peak height,HATS_403_037.mzML Peak height,HATS_404_040.mzML Peak height,HATS_401_022.mzML Peak height,HATS_408_043.mzML Peak height,HATS_405_025.mzML Peak height,HATS_406_055.mzML Peak height,HATS_407_059.mzML Peak height,HATS_412_019.mzML Peak height,HATS_409_056.mzML Peak height,HATS_410_018.mzML Peak height,HATS_411_044.mzML Peak height,LA2213_602_035.mzML Peak height,LA2213_603_045.mzML Peak height,LA2213_601_051.mzML Peak height,LA2213_604_016.mzML Peak height,LA2213_605_017.mzML Peak height,LA2213_607_032.mzML Peak height,LA2213_608_024.mzML Peak height,LA2213_606_033.mzML Peak height,LA2213_609_058.mzML Peak height,LA2213_610_050.mzML Peak height,LA2213_612_046.mzML Peak height,OH8243_801_036.mzML Peak height,OH8243_802_026.mzML Peak height,OH8243_803_030.mzML Peak height,OH8243_805_057.mzML Peak height,LA2213_611_061.mzML Peak height,OH8243_804_029.mzML Peak height,OH8243_806_027.mzML Peak height,OH8243_809_063.mzML Peak height,OH8243_807_053.mzML Peak height,OH8243_810_049.mzML Peak height,OH8243_808_038.mzML Peak height,OH8243_812_060.mzML Peak height,OH8243_811_028.mzML Peak height,PB_02_006.mzML Peak height,PB_03_007.mzML Peak height,PB_01_005.mzML Peak height,QC_02_031.mzML Peak height,QC_04_047.mzML Peak height,QC_01_023.mzML Peak height,QC_03_039.mzML Peak height,QC_05_054.mzML Peak height,QC_06_062.mzML Peak height
3106,100.1120325,2.7774892,26623.416,45481.484,43957.91,47214.434,46941.945,32218.727,31183.91,35303.914,45864.24,23643.994,37686.844,56403.086,17055.07,62850.582,65934.734,55457.773,39213.58,70226.37,66288.61,34621.55,91113.266,62639.473,67581.18,40946.746,20465.96,35333.652,29856.633,35958.797,30503.104,56032.35,36691.37,50666.99,46047.836,65493.934,72428.31,31881.008,1636.3307,1110.1565,1692.6123,44745.406,47746.75,48877.598,46261.83,49192.664,46033.004
364,101.0709263,0.6108881,105494.08,104196.2,104899.95,90222.125,115545.7,93989.97,95570.4,115281.734,101472.12,97027.94,90630.57,104887.6,66576.65,65370.88,47435.28,64013.645,47658.46,71036.67,52172.754,40744.164,63381.76,51361.305,49087.01,94677.12,108340.164,107385.23,97415.8,48982.39,104813.28,122527.195,101085.76,90582.305,122326.266,107286.86,121816.3,108423.6,1137.0548,0,1020.1285,89339.09,94751.89,90329.84,92601.875,92294.11,91098.54
453,102.0549578,0.641104,413980.78,413245.72,410670.9,422117.53,379500.5,449261.47,433928.56,332571.8,392594,390017.12,416449.53,422355.88,592171.5,600264.5,632623.25,601636.25,640748.7,553392.75,647132.5,670332.5,658110.44,646351,693065.1,391780.25,419073.7,450481.94,466370.94,702151.7,420585.12,424587.47,445201,418356.44,441316.1,434946.8,427225.22,437829.12,3105.8184,2864.9587,3207.8174,490789.8,496537.9,492414.2,498396.9,482208.75,481774.12
5568,103.0542019,3.9781477,9505.373,24041.377,17025.707,18192.37,16577.828,11359.503,11518.447,19983.748,15559.001,9627.115,12796.941,20556.49,15743.659,13851.345,17964.611,13082.048,14079.187,9328.002,13563.13,12921.681,20822.498,8418.64,16212.63,50506.33,12275.386,21711.973,9185.908,24172.998,17516.566,7871.3145,14386.55,16651.654,24013.99,14900.135,15380.786,9301.364,1800.0142,2731.3494,1151.3253,16082.15,19913.105,16594.87,16740.377,18736.555,19768.02
2723,103.0542247,2.5438855,196963.94,232544.06,233201.03,201711.9,317119.03,196461.58,172716.31,233300.6,236537.97,159840.7,218364.14,321963.44,129045.305,195453.73,225850.05,201513.81,212068.61,224188.3,347469.03,189898.62,257706.61,327060.44,250019.95,346550.9,230755.77,261948.36,256189.77,242351.39,313582.28,379779.34,316958.12,312944.12,361571.47,376760.3,383189.2,339914.3,1840.7476,1566.6545,1445.9075,246011.92,255719.62,258433.53,256504.58,243185.3,251536.94
1424,104.0528155,1.065307,75342.016,72663.664,98486.46,78438.71,128792.766,69918.09,64246.617,88647.18,78838.375,71890.95,75845.97,105331.26,77234.1,188235.25,240140.72,252137.2,193437.98,217610.7,266267.22,151346.98,258139.3,245574.8,222598.16,103021.46,87623.18,99653.84,82424.82,159695.02,109304.01,115658.56,81283.055,122101.92,108167.15,129118.48,135535.22,118637.664,0,0,0,142526.52,131748.64,142096.44,141859.47,144942.33,130475.96
397,104.0592646,0.6302757,911384.44,3234.576,4026.6704,3363.092,3529.0388,1575439,2767.2844,2967.58,3400.0894,3651.5295,3508.7222,2391496.5,3907.7573,5129.2036,4036.2583,3880.1487,7132.838,3564.4807,4816.9004,5229.744,6041.2065,3654.1116,3513.1294,3235928.8,2312412.5,1403187.8,4277.0107,4938.867,2213502.8,3107.4468,3691.4485,2208173.5,4198.4355,2635.5308,5685.785,3047.4194,0,0,0,3103.8503,4371.55,2995.4521,4149,4008.1013,3204.1277
426,104.0708451,0.6292385,2498815,3274537.2,3265154.8,3602852,4000426.2,2522759.8,2374514,3509658,3862798.5,3250134,3181953,3128421.2,1237809.1,1756531.1,1058236.2,1779994.6,1680350.2,1909496.5,1328158.6,1125229.6,1228389.1,1511817.5,1146863.5,4028730.2,2301126.2,2169438.5,2174260,927645.7,2505280.8,2556797.2,2170255.2,1980134.9,2471391.2,3092050.8,2514945.5,2604223.5,5152.864,5477.8413,5567.326,2221395.5,2242724,2233537.2,2268050,2223214,2214562.8
326,104.1074254,0.5997596,4192158,4506788.5,4466335,4506087,4407152.5,4389543,4441916.5,4643859,4476118,4585277,4592687.5,4330805.5,5260226.5,5272734.5,4989835,5775661.5,5670889.5,5682777,5266481.5,5648266.5,5563362,5472024,5767653,4941279,4683364.5,4679945.5,4449416.5,5657913,4934230.5,4593084,4384611.5,4582028.5,4920398.5,4429269,4698523.5,4589294,7739.36,7617.8647,8872.389,5018817,4842932.5,4947553,4913672,5000268,4967198.5
387,104.1248215,0.6135892,158717.28,246090.86,240655.11,246382.36,264137.53,146173.31,223540.2,258637.58,247996.95,246773.94,256970.73,240138.08,236874.97,246594.2,229606.95,226115.17,240099.12,247402.27,252475.42,223190.36,248424.78,220237.56,223825.72,201858.33,232462.77,194366.83,213606.36,236752.47,208300.02,242561.48,204365.48,238495.19,263302.97,240953.31,251163.48,244155.11,0,0,0,234147.69,253746.78,258277.94,210058.78,204740.72,212326.12
