row ID,row m/z,row retention time,HATS_402_041.mzML Peak height,HATS_403_037.mzML Peak height,HATS_401_022.mzML Peak height,HATS_404_040.mzML Peak height,HATS_406_055.mzML Peak height,HATS_407_059.mzML Peak height,HATS_408_043.mzML Peak height,HATS_409_056.mzML Peak height,HATS_405_025.mzML Peak height,HATS_411_044.mzML Peak height,HATS_410_018.mzML Peak height,HATS_412_019.mzML Peak height,LA2213_605_017.mzML Peak height,LA2213_602_035.mzML Peak height,LA2213_603_045.mzML Peak height,LA2213_607_032.mzML Peak height,LA2213_604_016.mzML Peak height,LA2213_601_051.mzML Peak height,LA2213_606_033.mzML Peak height,LA2213_609_058.mzML Peak height,LA2213_608_024.mzML Peak height,LA2213_612_046.mzML Peak height,OH8243_801_036.mzML Peak height,LA2213_610_050.mzML Peak height,OH8243_804_029.mzML Peak height,OH8243_802_026.mzML Peak height,OH8243_803_030.mzML Peak height,LA2213_611_061.mzML Peak height,OH8243_807_053.mzML Peak height,OH8243_805_057.mzML Peak height,OH8243_808_038.mzML Peak height,OH8243_806_027.mzML Peak height,PB_01_005.mzML Peak height,PB_02_006.mzML Peak height,OH8243_810_049.mzML Peak height,OH8243_809_063.mzML Peak height,PB_03_007.mzML Peak height,OH8243_811_028.mzML Peak height,OH8243_812_060.mzML Peak height,QC_02_031.mzML Peak height,QC_03_039.mzML Peak height,QC_04_047.mzML Peak height,QC_01_023.mzML Peak height,QC_06_062.mzML Peak height,QC_05_054.mzML Peak height,
623,100.04718101030042,0.6590671,4753.266,3611.0156,4377.072,3472.6213,4247.165,4137.7983,2979.37,4391.471,2632.4233,2560.7363,5082.5146,5008.391,6295.2495,6986.8076,4583.317,3468.3127,3795.0845,6316.103,5373.31,4674.3115,5409.16,4243.7217,3399.3232,5432.8066,3867.9353,4250.619,3452.362,4464.4253,4761.9795,3831.207,3697.2695,3270.4648,0,1122.9402,4169.0195,4102.2417,0,3549.6787,2860.282,4576.9365,5011.1855,5266.9424,5043.1455,5486.2173,4823.4453,
930,100.07566806298583,0.70376813,3251.0942,3062.12,2896.1401,4147.489,4499.846,3291.474,6091.772,4884.9453,5127.001,4103.077,5273.49,3287.373,5280.022,6087.118,6582.611,7440.8545,5075.9185,7902.4575,7659.9385,6244.2036,4759.483,5660.4927,4359.699,6176.8257,2720.4517,2786.5935,3633.2878,8353.015,4072.0017,3683.3845,5146.632,3171.169,1451.7163,2712.8,2392.7468,3013.6453,1520.0054,3022.3992,4162.704,4491.326,4881.647,5173.695,4376.217,3990.581,4518.3857,
1670,100.11198989980866,1.306698,1597.1528,2647.4646,2595.4504,2133.9785,1990.9191,1774.8289,2209.089,1796.0449,1573.2102,2460.8125,2744.5122,1766.953,3037.2903,2571.2207,3240.1667,3344.493,5509.2153,2524.818,3641.8948,3493.2485,3999.3916,5536.144,1828.0948,3430.7964,1710.6112,1683.0588,1519.0161,4725.8643,1781.9617,1210.4985,2780.9421,1778.3087,1154.4043,1276.227,2186.0613,2295.7354,1245.5911,1862.3682,1806.6534,2208.329,2937.0103,2507.1968,2850.7644,2357.7961,2343.0674,
3796,100.11199044242876,3.2294984,4546.081,5411.3506,5322.6772,5538.5854,5540.333,5962.49,6270.8477,5545.5146,4996.06,8281.877,5157.811,4226.045,5868.447,8689.632,6111.4443,5032.656,5831.041,5956.4556,5117.506,5500.9766,5800.7246,4167.063,5425.68,4951.8755,5188.4697,4952.269,5608.8364,6099.8857,5389.034,6644.2847,5020.1313,6158.487,6118.019,5341.4927,5397.245,5014.7256,5422.808,5261.664,5775.9565,6310.9126,5646.344,5789.624,6079.0317,5364.063,4667.7964,
2989,100.1120328520175,2.777489,26623.416,45481.484,47214.434,43957.91,31183.91,35303.914,46941.945,23643.994,32218.727,56403.086,37686.844,45864.24,39213.58,17055.07,62850.582,70226.37,55457.773,65934.734,34621.55,91113.266,66288.61,67581.18,40946.746,62639.473,30503.104,20465.96,35333.652,35958.797,50666.99,29856.633,65493.934,56032.35,1692.6123,1636.3307,46047.836,36691.37,1110.1565,31881.008,72428.31,44745.406,46261.83,47746.75,48877.598,46033.004,49192.664,
1747,101.02325711950046,1.5106707,21263.867,22419.418,27320.064,26748.629,24193.87,16681.271,15102.629,21331.518,22934.594,18062.607,34104.57,19034.701,28395.4,41913.094,24703.576,29043.105,34459.207,22579.234,9274.844,16380.457,10000.164,9085.124,13928.303,6909.0205,17213.021,18395.943,11893.849,14399.387,11935.649,30612.307,15881.707,11745.082,0,0,11794.08,9505.566,0,9125.395,18646.88,22438.324,19760.7,23592.809,20060.207,24738.402,22903.924,
2481,101.02328660029328,2.4639668,17070.62,15205.723,17139.379,14956.564,15715.309,16398.02,21826.021,17385.77,13816.8125,21791.537,17323.74,10382.152,17812.1,21347.787,23803.18,23993.951,19541.57,34142.52,21532.152,16463.018,13101.728,10811.401,13156.886,14334.857,14888.122,11071.466,13969.85,20957.885,15234.738,17142.738,20084.777,16367.659,0,0,15891.673,15993.615,0,19099.686,18113.152,16063.921,20018.115,15933.5,17737.805,17036.242,15041.768,
2453,101.05963359387772,2.452484,4251.0205,5032.653,5502.2866,4375.435,3530.6692,6279.4873,5521.6196,3315.8152,4211.7446,5870.6094,6226.2974,5240.537,5945.998,5257.933,6586.345,5571.271,7700.2354,6679.64,7827.163,5539.8394,6146.0547,5825.79,4030.6926,7052.7764,4422.5376,3787.3337,4528.766,7163.2407,4907.467,4810.643,4168.0874,4527.176,1200.7283,1177.0428,4751.082,4465.5596,1746.3302,6408.137,5021.15,4129.571,5399.585,5142.9272,4391.5425,5843.2627,5815.196,
7077,101.05965259377383,4.87067,23371.754,22873.076,25005.234,22501.922,23736.014,23366.234,22810.305,21938.508,22560.51,23527.451,22282.41,22923.418,20396.059,24800.309,23279.326,24750.09,23117.586,22156.822,23889.852,24746.97,22671.71,22935.506,21563.816,20243.135,22797.01,25998.697,23132.027,22447.146,22788.445,21956.754,22046.826,22533.102,25987.516,24157.105,24019.291,22323.816,29057.129,23677.098,25536.72,22890.95,24928.219,24169.059,25485.266,24177.195,24064.791,
952,101.05965878678337,0.6965066,9267.278,9106.018,6031.7783,6188.0933,9246.945,7031.004,7667.0005,5888.124,74377.36,73925.13,7663.669,6965.098,9137.667,8892.533,9346.333,15049.978,9345.901,10624.287,10818.108,16076.687,12509.214,11416.986,70513.79,11867.339,5392.2573,49550.49,88850.336,8098.5806,63300.93,6920.3823,8092.5664,5639.699,1722.446,0,7911.604,7716.4277,0,5971.2783,6007.5557,6989.84,8809.669,9018.166,7714.3066,8006.797,10007.345,
