mz_rt,mz,rt,MPA,Cluster_ID,Cluster_features,Cluster_size
100.112032546963_2.7774892,100.112032546963,2.7774892,45948.622,Cluster_146.117590231148_2.7758389,100.112032546963_2.7774892;146.117590231148_2.7758389,2
101.070926284391_0.6108881,101.070926284391,0.6108881,94333.545,Cluster_147.077120604255_0.6086585,101.070926284391_0.6108881;147.077120604255_0.6086585;147.22323215244_0.6100122;147.250378998592_0.6080253,4
102.054957817964_0.641104,102.054957817964,0.641104,447231.235,Cluster_148.061209408145_0.63665396,102.054957817964_0.641104;148.061209408145_0.63665396;149.063907598478_0.63694835;292.102830381875_0.6278909;310.113460248473_0.6294793,5
103.054224658561_2.5438855,103.054224658561,2.5438855,248015.935,Cluster_166.087210672427_2.5390656,103.054224658561_2.5438855;107.04910595537_2.5383244;120.081186642033_2.5390654;120.105963852911_2.5400486;131.049248649799_2.5396519;149.059772176383_2.5364702;166.087210672427_2.5390656;167.089819602484_2.540247;369.11216145098_2.5394537;385.08442818183_2.5402467;534.190861436603_2.539452;550.16266289956_2.5396512,12
104.052815474906_1.065307,104.052815474906,1.065307,120369.792,Cluster_150.058523191226_1.0655062,104.052815474906_1.065307;133.031844738014_1.0651087;150.058523191226_1.0655062;150.083200370201_1.0649102;152.055103377355_1.0641153,5
104.059264569687_0.6302757,104.059264569687,0.6302757,4017.3857,104.059264569687_0.6302757,104.059264569687_0.6302757,1
104.070845078818_0.6292385,104.070845078818,0.6292385,2255387,104.070845078818_0.6292385,104.070845078818_0.6292385,1
104.107425371357_0.5997596,104.107425371357,0.5997596,4770728,Cluster_104.107425371357_0.5997596,104.107425371357_0.5997596;104.130633537458_0.60107374,2
104.124821538078_0.6135892,104.124821538078,0.6135892,239297.14500000002,104.124821538078_0.6135892,104.124821538078_0.6135892,1
104.130633537458_0.60107374,104.130633537458,0.60107374,193581.455,Cluster_104.107425371357_0.5997596,104.107425371357_0.5997596;104.130633537458_0.60107374,2
105.069870260645_2.8523927,105.069870260645,2.8523927,111771.5675,Cluster_122.09644076751_2.8501673,105.069870260645_2.8523927;122.09644076751_2.8501673,2
106.068412513468_1.2653452,106.068412513468,1.2653452,67962.2225,Cluster_175.107751487114_1.2637546,106.068412513468_1.2653452;175.107751487114_1.2637546,2
107.04910595537_2.5383244,107.04910595537,2.5383244,78403.36,Cluster_166.087210672427_2.5390656,103.054224658561_2.5438855;107.04910595537_2.5383244;120.081186642033_2.5390654;120.105963852911_2.5400486;131.049248649799_2.5396519;149.059772176383_2.5364702;166.087210672427_2.5390656;167.089819602484_2.540247;369.11216145098_2.5394537;385.08442818183_2.5402467;534.190861436603_2.539452;550.16266289956_2.5396512,12
108.961945754774_0.52226293,108.961945754774,0.52226293,39818.289000000004,108.961945754774_0.52226293,108.961945754774_0.52226293,1
110.009108080217_0.52003735,110.009108080217,0.52003735,3200026.35,Cluster_110.009108080217_0.52003735,110.009108080217_0.52003735;110.032972863382_0.5189263;112.006251085642_0.51873964;151.035346153634_0.51948184;182.962583946654_0.5202234;184.960223772975_0.52000076;200.97314613172_0.52082145;223.989178888374_0.52152073;224.020694569181_0.5196298;225.986933532154_0.5196314;243.020093748696_0.52115035;382.928358386068_0.52042377;384.926376836896_0.52002734,13
110.032972863382_0.5189263,110.032972863382,0.5189263,131156.70500000002,Cluster_110.009108080217_0.52003735,110.009108080217_0.52003735;110.032972863382_0.5189263;112.006251085642_0.51873964;151.035346153634_0.51948184;182.962583946654_0.5202234;184.960223772975_0.52000076;200.97314613172_0.52082145;223.989178888374_0.52152073;224.020694569181_0.5196298;225.986933532154_0.5196314;243.020093748696_0.52115035;382.928358386068_0.52042377;384.926376836896_0.52002734,13
111.007803224591_1.1192559,111.007803224591,1.1192559,350890.57999999996,111.007803224591_1.1192559,111.007803224591_1.1192559,1
112.006251085642_0.51873964,112.006251085642,0.51873964,450352.06,Cluster_110.009108080217_0.52003735,110.009108080217_0.52003735;110.032972863382_0.5189263;112.006251085642_0.51873964;151.035346153634_0.51948184;182.962583946654_0.5202234;184.960223772975_0.52000076;200.97314613172_0.52082145;223.989178888374_0.52152073;224.020694569181_0.5196298;225.986933532154_0.5196314;243.020093748696_0.52115035;382.928358386068_0.52042377;384.926376836896_0.52002734,13
112.050529756137_2.2533631,112.050529756137,2.2533631,57032.62,112.050529756137_2.2533631,112.050529756137_2.2533631,1
112.050541208462_0.9738675,112.050541208462,0.9738675,473794.87,Cluster_487.178759593699_0.97532153,112.050541208462_0.9738675;244.092956113314_0.9753211;487.178759593699_0.97532153;487.22351074896_0.9751228;488.181430481795_0.9753212,5
112.050582030237_0.71044403,112.050582030237,0.71044403,418247.79000000004,Cluster_112.050582030237_0.71044403,112.050582030237_0.71044403;244.092987695735_0.71067125,2
112.086888085517_0.5327405,112.086888085517,0.5327405,142673.61,Cluster_112.086888085517_0.5327405,112.086888085517_0.5327405;112.109950875225_0.5340893;180.061760018057_0.53455085;405.12208084105_0.5409808,4
112.109950875225_0.5340893,112.109950875225,0.5340893,6281.4315,Cluster_112.086888085517_0.5327405,112.086888085517_0.5327405;112.109950875225_0.5340893;180.061760018057_0.53455085;405.12208084105_0.5409808,4
113.034576214103_1.5815856,113.034576214103,1.5815856,360104.85,Cluster_113.034576214103_1.5815856,113.034576214103_1.5815856;245.076884430901_1.5815856,2
113.059670511381_2.6077857,113.059670511381,2.6077857,19853.606,Cluster_315.105061524741_2.609176,113.059670511381_2.6077857;315.105061524741_2.609176,2
114.037915180084_1.577215,114.037915180084,1.577215,17963.1075,114.037915180084_1.577215,114.037915180084_1.577215,1
114.987503209513_0.52144504,114.987503209513,0.52144504,71874.095,114.987503209513_0.52144504,114.987503209513_0.52144504,1
115.038980056501_2.3986132,115.038980056501,2.3986132,343344.15,Cluster_115.038980056501_2.3986132,115.038980056501_2.3986132;277.091840199443_2.3992085;299.073893901055_2.3992085;315.047661247404_2.3992085,4
116.070721366157_0.70451075,116.070721366157,0.70451075,681664.2,Cluster_116.070721366157_0.70451075,116.070721366157_0.70451075;116.093942739478_0.70555997;458.18655154979_0.70311844,3
116.093942739478_0.70555997,116.093942739478,0.70555997,26724.911,Cluster_116.070721366157_0.70451075,116.070721366157_0.70451075;116.093942739478_0.70555997;458.18655154979_0.70311844,3
117.057291269683_3.2871456,117.057291269683,3.2871456,16407.131999999998,Cluster_144.081046072779_3.2843747,117.057291269683_3.2871456;144.081046072779_3.2843747;144.10656829728_3.2860281;161.10743699141_3.2875435,4
118.08632061476_0.9366337,118.08632061476,0.9366337,532425.3,118.08632061476_0.9366337,118.08632061476_0.9366337,1
119.016153594211_0.7097321,119.016153594211,0.7097321,61145.169,119.016153594211_0.7097321,119.016153594211_0.7097321,1
120.065570036653_0.61459327,120.065570036653,0.61459327,146510.875,120.065570036653_0.61459327,120.065570036653_0.61459327,1
120.081186642033_2.5390654,120.081186642033,2.5390654,2911435.1,Cluster_166.087210672427_2.5390656,103.054224658561_2.5438855;107.04910595537_2.5383244;120.081186642033_2.5390654;120.105963852911_2.5400486;131.049248649799_2.5396519;149.059772176383_2.5364702;166.087210672427_2.5390656;167.089819602484_2.540247;369.11216145098_2.5394537;385.08442818183_2.5402467;534.190861436603_2.539452;550.16266289956_2.5396512,12
120.105963852911_2.5400486,120.105963852911,2.5400486,114913.205,Cluster_166.087210672427_2.5390656,103.054224658561_2.5438855;107.04910595537_2.5383244;120.081186642033_2.5390654;120.105963852911_2.5400486;131.049248649799_2.5396519;149.059772176383_2.5364702;166.087210672427_2.5390656;167.089819602484_2.540247;369.11216145098_2.5394537;385.08442818183_2.5402467;534.190861436603_2.539452;550.16266289956_2.5396512,12
121.064414203714_1.7913388,121.064414203714,1.7913388,237504.975,Cluster_121.064414203714_1.7913388,121.064414203714_1.7913388;138.091375625225_1.793936,2
122.09644076751_2.8501673,122.09644076751,2.8501673,117385.07,Cluster_122.09644076751_2.8501673,105.069870260645_2.8523927;122.09644076751_2.8501673,2
122.919636614785_0.5671052,122.919636614785,0.5671052,588822.925,122.919636614785_0.5671052,122.919636614785_0.5671052,1
123.044084295576_1.5239786,123.044084295576,1.5239786,41428.145000000004,Cluster_182.081361062316_1.5244584,123.044084295576_1.5239786;136.075712902846_1.5221919;165.054674685912_1.5265851;182.081361062316_1.5244584;182.109786495729_1.5243765,5
123.055299484864_0.70484966,123.055299484864,0.70484966,50491.681,123.055299484864_0.70484966,123.055299484864_0.70484966,1
124.039338985237_0.9609213,124.039338985237,0.9609213,107946.44,Cluster_256.081705354062_0.9580376,124.039338985237_0.9609213;256.081705354062_0.9580376;256.092384204874_0.9580376,3
124.03935745222_0.7135963,124.03935745222,0.7135963,106378.58499999999,Cluster_256.081743685307_0.71169686,124.03935745222_0.7135963;256.081743685307_0.71169686,2
124.075722745863_3.0737028,124.075722745863,3.0737028,17774.326500000003,Cluster_293.149678736606_3.06983,124.075722745863_3.0737028;147.044144762375_3.0737321;293.149678736606_3.06983;315.13145611106_3.0701349,4
127.038994741722_5.11021,127.038994741722,5.11021,45745.574,Cluster_578.406656402623_5.1152167,1035.61900797989_5.1122932;1037.1091001108_5.1136446;1056.53430825073_5.1216283;1151.63135137348_5.1233387;127.038994741722_5.11021;145.049563486734_5.117227;241.070624949563_5.115628;259.081287353622_5.1164665;295.102497653947_5.116862;296.105931055998_5.1138825;325.112993557949_5.1134863;358.171948858718_5.117569;363.495984702925_5.11867;363.830468347041_5.116564;436.754020858433_5.1176367;457.155065183496_5.116663;517.779871182186_5.115609;526.293612577877_5.117061;526.340377468668_5.118512;528.77147918881_5.1252284;528.817947702132_5.1248064;529.272962373124_5.1253195;529.319556798198_5.1244087;536.758001044096_5.1252036;537.260379463517_5.1248064;537.759950454667_5.124807;542.238687184529_5.1191597;544.739892147305_5.1184516;545.241231714053_5.1196413;554.741603785728_5.1241455;559.756060852902_5.1202383;562.72876816718_5.1213107;563.23067067722_5.1204605;578.406656402623_5.1152167,34
128.019315993083_0.5188364,128.019315993083,0.5188364,30883.663,128.019315993083_0.5188364,128.019315993083_0.5188364,1
129.018417804627_1.1243048,129.018417804627,1.1243048,1024832.6,Cluster_129.018417804627_1.1243048,129.018417804627_1.1243048;139.002713612421_1.1241074,2
129.021378893684_0.52388287,129.021378893684,0.52388287,20473.3445,129.021378893684_0.52388287,129.021378893684_0.52388287,1
129.039654384402_0.51855516,129.039654384402,0.51855516,110466.795,Cluster_170.066281728326_0.52003735,129.039654384402_0.51855516;170.066281728326_0.52003735,2
129.054521406364_2.8103065,129.054521406364,2.8103065,100517.285,Cluster_313.089477669772_2.8100047,129.054521406364_2.8103065;291.107466828102_2.8098063;313.089477669772_2.8100047;329.063335133166_2.8092103,4
130.021660184719_1.1251011,130.021660184719,1.1251011,64970.9535,130.021660184719_1.1251011,130.021660184719_1.1251011,1
130.050100914616_1.2840797,130.050100914616,1.2840797,1303134.45,Cluster_130.050100914616_1.2840797,130.050100914616_1.2840797;130.075194276665_1.2840155;152.031834778212_1.2852072;259.092533167519_1.283817;375.996118072345_1.2798454;473.088570044802_1.278883;489.066211246593_1.2823724;505.038530900235_1.2822285,8
130.050280422605_0.61607695,130.050280422605,0.61607695,2306992.25,Cluster_130.050280422605_0.61607695,130.050280422605_0.61607695;130.076091733108_0.6159738,2
130.075194276665_1.2840155,130.075194276665,1.2840155,57203.088,Cluster_130.050100914616_1.2840797,130.050100914616_1.2840797;130.075194276665_1.2840155;152.031834778212_1.2852072;259.092533167519_1.283817;375.996118072345_1.2798454;473.088570044802_1.278883;489.066211246593_1.2823724;505.038530900235_1.2822285,8
130.076091733108_0.6159738,130.076091733108,0.6159738,105003.5075,Cluster_130.050280422605_0.61607695,130.050280422605_0.61607695;130.076091733108_0.6159738,2
130.085559682816_0.545067,130.085559682816,0.545067,51446.585999999996,130.085559682816_0.545067,130.085559682816_0.545067,1
130.086345981562_0.980759,130.086345981562,0.980759,132790.46999999997,130.086345981562_0.980759,130.086345981562_0.980759,1
131.049183918084_3.978032,131.049183918084,3.978032,36669.130000000005,Cluster_219.149329825659_3.9774356,131.049183918084_3.978032;219.149329825659_3.9774356;219.158990204168_3.9772358;219.180328578384_3.9772375,4
131.049248649799_2.5396519,131.049248649799,2.5396519,116628.95,Cluster_166.087210672427_2.5390656,103.054224658561_2.5438855;107.04910595537_2.5383244;120.081186642033_2.5390654;120.105963852911_2.5400486;131.049248649799_2.5396519;149.059772176383_2.5364702;166.087210672427_2.5390656;167.089819602484_2.540247;369.11216145098_2.5394537;385.08442818183_2.5402467;534.190861436603_2.539452;550.16266289956_2.5396512,12
131.085522934718_3.4498363,131.085522934718,3.4498363,19746.9875,Cluster_209.11730539783_3.4494393,131.085522934718_3.4498363;209.11730539783_3.4494393;209.127263890467_3.4478495;210.120499284084_3.4491467;258.169953555699_3.443082,5
131.117930458033_0.71151936,131.117930458033,0.71151936,72115.07500000001,131.117930458033_0.71151936,131.117930458033_0.71151936,1
132.08077388109_2.9967284,132.08077388109,2.9967284,31083.9915,Cluster_205.09752481593_2.9962618,132.08077388109_2.9967284;143.072711732688_2.99971;144.080789666425_2.9944086;146.060056648305_2.996331;159.091516591035_2.9995277;188.070836816614_2.9951394;188.099839940516_2.9957356;205.09752481593_2.9962618;205.128640217858_2.9951396;447.134024694987_2.9963326,10
132.1019296846_1.2230818,132.1019296846,1.2230818,37659.3785,Cluster_132.1019296846_1.2230818,132.1019296846_1.2230818;332.562102652304_1.2154844;664.115916022836_1.2117109,3
132.102313005933_1.7501794,132.102313005933,1.7501794,3128027.9,Cluster_132.102313005933_1.7501794,132.102313005933_1.7501794;132.128332320622_1.7506319,2
132.128332320622_1.7506319,132.128332320622,1.7506319,122856.677,Cluster_132.102313005933_1.7501794,132.102313005933_1.7501794;132.128332320622_1.7506319,2
133.031844738014_1.0651087,133.031844738014,1.0651087,185816.42,Cluster_150.058523191226_1.0655062,104.052815474906_1.065307;133.031844738014_1.0651087;150.058523191226_1.0655062;150.083200370201_1.0649102;152.055103377355_1.0641153,5
134.044785115529_1.1221993,134.044785115529,1.1221993,37098.585,134.044785115529_1.1221993,134.044785115529_1.1221993,1
134.044906761727_0.6012433,134.044906761727,0.6012433,577719.43,134.044906761727_0.6012433,134.044906761727_0.6012433,1
136.061806032502_0.7260182,136.061806032502,0.7260182,69471.8675,136.061806032502_0.7260182,136.061806032502_0.7260182,1
136.061878205518_2.2656,136.061878205518,2.2656,606373.75,Cluster_268.105166673735_2.2694929,136.061878205518_2.2656;268.105166673735_2.2694929;589.119644801086_2.2667148,3
136.075712902846_1.5221919,136.075712902846,1.5221919,129920.63,Cluster_182.081361062316_1.5244584,123.044084295576_1.5239786;136.075712902846_1.5221919;165.054674685912_1.5265851;182.081361062316_1.5244584;182.109786495729_1.5243765,5
137.059749482996_1.1501302,137.059749482996,1.1501302,132272.47,Cluster_137.059749482996_1.1501302,137.059749482996_1.1501302;154.086298649574_1.1505269,2
138.055501454422_0.67077035,138.055501454422,0.67077035,3102971,Cluster_138.055501454422_0.67077035,138.055501454422_0.67077035;138.082101952436_0.6707992,2
138.082101952436_0.6707992,138.082101952436,0.6707992,128563.3,Cluster_138.055501454422_0.67077035,138.055501454422_0.67077035;138.082101952436_0.6707992,2
138.091375625225_1.793936,138.091375625225,1.793936,132400.68,Cluster_121.064414203714_1.7913388,121.064414203714_1.7913388;138.091375625225_1.793936,2
139.002713612421_1.1241074,139.002713612421,1.1241074,612025.8300000001,Cluster_129.018417804627_1.1243048,129.018417804627_1.1243048;139.002713612421_1.1241074,2
142.065130018016_2.347164,142.065130018016,2.347164,3856.4357499999996,142.065130018016_2.347164,142.065130018016_2.347164,1
143.034447819593_2.469724,143.034447819593,2.469724,67668.742,Cluster_143.034447819593_2.469724,143.034447819593_2.469724;207.050045042517_2.462576,2
